Project,Hole,From_m,To_m,Colour,Oxidation,Foliation,QtzCarb_Replacement_Pct,Lith1_Group,Lith1,Lith1_Texture,Lith1_Bedding,Lith1_Volc_Txt1,Lith1_Volc_Txt2,Comments,ImagePath,Relog,Logger,Timestamp
GCL,KAD17-023,65.56,71,GREY,PO,NA,0,FILL,GRAVEL,,,,,"Brown, oxidized, blocky, rubble core. 	Appears to be predominantly fu-qz-cb altered UM. 	Sampled on blocks",,0,Robinson,9/17/2017
GCL,KAD17-023,71,90,,,,,VOID,VOID,,,,,"Empty space
	No core",,0,Robinson,9/17/2017
GCL,KAD17-024,0,11.85,NA,,,,OVB,OVB,,,,,Cased to 11m but polylithic boulders to 11.85m.,,0,Blackwell,6/4/2017
GCL,KAD17-024,11.85,19.13,GREY,TO,INT,5,SED,SED-MSSS,BED,CTRD,,,"Dark grey, strongly folded and foliated mudstone to sandstone with quartz-carbonate boudins. Strong sericite +- chlorite alteration. Disseminated pyrite along concentrated along foliation planes.",,0,Blackwell,6/4/2017
GCL,KAD17-024,19.13,29.03,GREEN-OL,WO,MOD,5,MIX,UM-SED,BRECCIA,MASS,,,"Pale greenish tan coloured ultramafic unit with domains of brown sericitic alteration (possible sedimentary facies or albitic facies). Breccia domains (10-100 cm wide) of angular white quartz-carbonate vein fragments that range in size from 0.5cm to 3cm. 	Pervasive grey quartz-carbonate alteration with weak fuchsite alteration developed along foliation plane and patchy sericitic alteration. Weak disseminated pyrite.",,0,Blackwell,6/4/2017
GCL,KAD17-024,29.03,50.95,GREEN-GRY,PO,MOD,40,UM,UM-BX,BRECCIA,,,,"Light emerald green to dark blue-green ultramafic unit with a breccia texture defined by wispy irregular ultramafic fragments that are accentuated by a white quartz-carbonate cement. 	Irregular orange-tan domains (<40cm) of albitic composition occur throughout. 	Pervasive quartz-carbonate alteration with patchy weak fuchsite, and patchy chlorite. Orange oxidized fracture surfaces, especially strong around a fault from 39.88 to 42.08m. 	Weak disseminated and patchy pyrite.",,0,Blackwell,6/4/2017
GCL,KAD17-024,50.95,53.1,ORANGE,PO,WK,,DYK,DYKE-ALB,MASS,,,,"Tan, massive unit with pervasive carbonate + sericite +- albitic alteration and disseminated or spotty chlorite. Pervasive orange oxidation throughout. Weakly developed foliation (S2). 	Weak disseminated pyrite.",,0,Blackwell,6/4/2017
GCL,KAD17-024,53.1,72.27,GREEN-EM,TO,MOD,30,UM,UM-ALB,BRECCIA,,,,"Mottled emerald green to tan, brecciated ultramafic and albitic domains. Ultramafic domains have strong Qtz-Carb alteration and moderate to strong fuchsite; with 30-40% white quartz-carb infill accentuating a breccia texture; and a strong disseminated pyrite-tennatite mineralization. Albitic domains vary from 2cm to 1.5m wide and are also strongly brecciated with intense pyrite-sphalerite mineralization.",,0,Blackwell,6/4/2017
GCL,KAD17-024,72.27,74.5,TAN,UO,WK,10,DYK,DYKE-ALB,APHAN,,,,"Tan, brecciated albitic unit with a jigsaw-fit or crackle breccia texture overprint. Pervasive carbonate-albite-sericite alteration. Thin translucent quartz veins (opalescent locally) with strong disseminated arsenopyrite-pyrite-tennantite along the vein envelopes.",,0,Blackwell,6/4/2017
GCL,KAD17-024,74.5,80.49,GREEN-EM,TO,WK,30,UM,UM-QC,BRECCIA,,,,"Intensely brecciated ultramafic unit with angular quartz-carb vein fragments. Historically referred to as a ""Sil-Break"". Intensely “flooded” or altered by quartz; dark grey to dark brown, +- possible tourmaline. Sil break cross-cuts intense UM-QC unit defined by strong pervasive quartz-carbonate-fuchsite alteration. Strong disseminated pyrite-arsenopyrite-tennantite mineralization, dominantly in fuchsite altered septa. Strongly mineralized albite-quartz dyke from 77.95-88.30m.",,0,Blackwell,6/4/2017
GCL,KAD17-024,80.49,89.55,GREEN-EM,TO,MOD,50,UM,UM-QC,BRECCIA,,,,"Bright emerald green, intensely fuchsite altered ultramafic with an intense quartz-carbonate infill (QC up to 70%). Strong disseminated pyrite (very silvery) and tennantite along fuchsite septa.",,0,Blackwell,6/4/2017
GCL,KAD17-024,89.55,90.73,TAN,TO,WK,10,DYK,DYKE-ALB,APHAN,,,,"Grey tan, intensely albite-quartz altered unit with sharp margins. 	Qtz-carb veins and grey sulfide stringer veins define a subtle jigsaw-fit or crackle breccia texture. 	Strong to intense disseminated pyrite (very silvery) and arsenopyrite.",,0,Blackwell,6/4/2017
GCL,KAD17-024,90.73,92.76,GREEN-EM,UO,WK,40,UM,UM-QC,BAND,,,,Emerald green ultramafic with bands of white quartz-carbonate. Strong disseminated pyrite.,,0,Blackwell,6/5/2017
GCL,KAD17-024,92.76,93.92,GREY,TO,WK,5,DYK,DYKE-ALB,APHAN,,,,"Grey-tan, intensely pervasive albite-quartz altered unit with sharp and brecciated margins. 	Moderate disseminated pyrite.",,0,Blackwell,6/5/2017
GCL,KAD17-024,93.92,97.67,GREEN-EM,TO,MOD,60,UM,UM-QC,BAND,,,,"Emerald green ultramafic with irregular bands of white quartz-carbonate. Minor irregular bands of albite dykes, <5cm. Strong disseminated pyrite concentrated on fuchsite septa.",,0,Blackwell,6/5/2017
GCL,KAD17-024,97.67,98.95,,,,,VOID,VOID,,,,,,,0,Blackwell,9/17/2017
GCL,KAD17-024,98.95,107,GREEN-EM,WO,MOD,30,UM,UM-ALB,,,,,"Moderate pervasive fuchsite-quartz-carbonate altered ultramafic with thin (	5-30 cm wide) albitquartz altered dykes throughout. Irregular white QC veins throughout with diffuse vein margins. Moderate to weak disseminated pyrite. *	Drilled through a BQ-sized drill hole at 101.15m
•	Weak disseminated pyrite (~0.5%)",,0,Blackwell,6/5/2017
GCL,KAD17-024,107,112,,,,,VOID,VOID,,,,,,,0,Blackwell,9/17/2017
GCL,KAD17-024,112,126.08,GREEN-EM,TO,WK,30,UM,UM,GRAN,,,,"Strong pervasive fuchsite-quartz-carbonate altered ultramafic with a coarse granular texture. Large, up to 60cm, white QC veins have oxidized wall rock margins and have irregular diffuse marings, and local VG present. Moderate to strong disseminated pyrite.",,0,Blackwell,6/5/2017
GCL,KAD17-024,126.08,137.67,,,,,FILL,BOULDER,,,,,"Fucshite-quartz-carbonate altered boulders, up to 2m; separated by polylithic gravel. Several runs have very poor recover and are missing up to 1m",,0,Blackwell,9/17/2017
GCL,KAD17-024,137.67,167.21,GREEN-GRY,TO,MOD,10,UM,UM,GRAN,,,,"Massive ultramafic with a sublte granular texture.Moderate pervasive fuchsite-quartz-carbonate alteration with ~10-20% white quartz-carb veins that have diffuse irregular margins. Large quartz-carb vein from 158-160m, with a significant amount of VG. Moderate (~1% disseminated pyrite). **Reduced to NQ at 151m.",,0,Blackwell,6/6/2017
GCL,KAD17-024,167.21,197.54,GREEN-EM,UO,WK,40,UM,UM-QC,GRAN,,,,"Strong pervasive fuchsite-quartz-carbonate alteration with diffuse, irregular and large quartz-carbonate veins/infill throughout (20-40%). Visible gold present in quartz-carb veins that have dark grey ""sooty"" vein margins. Weak to moderate disseminated pyrite (0.5-1%). Carbonate altered, granular, possible brecciated texture.
QC Veins: 10cm wide VG bearing QC vein at 179.86m, 40°tca, 15 cm wide spectacular VG bearing QC vein (from 194.67 to 195.0m) , 30°tca; > 20 dendritic blebs up to 1cm.",,0,Blackwell,6/6/2017
GCL,KAD17-024,197.54,201.61,BROWN,UO,MOD,1,UM,UM,GRAN,,,,Moderate pervasive brown quartz-carbonate alteration; gradational upper alteration contact. Weak to moderate foliation. Disseminated pyrite and chalcopyrite.,,0,Blackwell,6/6/2017
GCL,KAD17-024,201.61,204,GREY-BLK,TO,WK,10,MAFIC,MAFIC,BRECCIA,,,,"Dark grey-black unit with strong quartz +- albite +- carbonate alteration; possible weak diffuse fuchsite/chlorite alteration. Strong disseminated pyrite and chalcopyrite (~5%). 	Irregular wormy grey quartz veins. Diffuse or subtle monomitic breccia texture.",,0,Blackwell,6/6/2017
GCL,KAD17-025,0,9,,,,,OVB,OVB,,,,,,,0,Stubley,6/5/2017
GCL,KAD17-025,9,15.14,GREEN,TO,ST,5,UM,UM-BX,BRECCIA,,,,"Dark green to grey strongly chlorite altered fragmented ultramafic. 
Breccia texture apparent through alteration. 	Weak to moderate quartz-carbonate replacement ~5%. 	Weakly disseminated pyrite trace to 1%.",,0,Stubley,6/5/2017
GCL,KAD17-025,15.14,17.7,GREY,TO,ST,60,UM,UM-BX,BRECCIA,,,,"Dark green to grey strongly chlorite altered fragmented ultramafic. 
Breccia texture apparent through alteration.	 Strong quartz-carbonate replacement/veins ~50%. 	Weakly disseminated pyrite, trace to 1%",,0,Stubley,6/5/2017
GCL,KAD17-025,17.7,31.96,GREEN-GRY,TO,ST,15,UM,UM-SS,BED,THIN,,,"Strongly foliated planar to undulating bands/beds of ultramafic rock.
•	Foliation/bedding ~60°TCA, locally folded/distorted. 	Rare local boudingaged albite dykes. 	Strong chlorite-quartz-carbonate±sericite alteration, local weak fuchsite. 	Weak quartz-carbonate-fuchsite alteration locally. 	Increase to ~1% patchy pyrite and trace tennantite.",,0,Stubley,6/5/2017
GCL,KAD17-025,31.96,34.76,TAN,TO,WK,2,DYK,DYKE-ALB,PHAN,,,,"Zone dominated by tan coloured albite dykes with short ultramafic inclusions.	 Sharp upper and lower contacts ~70° TCA. 	Weak foliation defined by chlorite inclusions ~70°TCA. 	Dykes contain 2-3% disseminated pyrite.",,0,Stubley,6/5/2017
GCL,KAD17-025,34.76,39.1,GREEN-EM,TO,ST,25,UM,UM-QC,BOUD,,,,"Strongly fuchsite quartz carbonate altered ultramafic. 	Strong (~25%) quartz-carbonate replacement. 	Single 10 cm albite dyke 39 m. 	Sharp, oxidized lower contact against fractured rock.",,0,Stubley,6/5/2017
GCL,KAD17-025,39.1,62.15,GREEN-GRY,TO,MOD,10,UM,UM-ALB,BOUD,,,,"Dark green grey, strongly quartz-chlorite-carbonate chlorite altered massive to bedded ultramafic. 	Up to 10% quartz-carbonate replacement. 	Thin (<30cm) boudinaged albite dykes throughout.",,0,Stubley,6/6/2017
GCL,KAD17-025,62.15,73.58,GREY-BLK,UO,ST,3,UM,UM-BX,BRECCIA,,,,"Dark grey-green, strongly banded/foliated at 70°TCA. 	Strong chlorite-carbonate with moderate talc alteration. 	Weak to trace disseminated pyrite.",,0,Unknown,6/6/2017
GCL,KAD17-025,73.58,81,GREEN-BLK,UO,ST,3,FLT,UM,FLTD,,,,"•	Strong talc-chlorite-carbonate alteration.
•	Zone comprises healed tectonic fault breccia texture and local gouge-filled faults.
•	Sense of shear approximately 60°TCA, but as shallow as 10°TCA. 
•	Weak to trace disseminated pyrite.",,0,Unknown,6/6/2017
GCL,KAD17-025,81,116.42,GREEN-BLK,UO,ST,3,UM,UM,BOUD,,,,,,0,Unknown,6/6/2017
GCL,KAD17-025,116.42,146.79,GREY,PO,MOD,15,UM,UM-ALB,BOUD,,,,"Massive to boudinaged ultramafic rocks. Local healed fault breccia and minor gouge intervals. 	Local boudinaged albite dykes contain strongly disseminated pyrite. 	Strong carbonate replacement, strongly chlorite-carbonate altered. Patchy local albite alteration. 	Total pyrite up to ~1%.",,0,Unknown,6/6/2017
GCL,KAD17-025,146.79,170.92,GREEN-GRY,UO,WK,20,UM,UM,MASS,,,,"Massive light green-grey moderately fuchsite-quartz-carb altered ultramafic.	Thick, deformed individual milky quartz carbonate and smoky quartz veins typically ~60°TCA. 	Weakly foliated ~40-60° TCA.
Strong disseminated and blebby pyrite up to 5%.",,0,Unknown,6/7/2017
GCL,KAD17-025,170.92,191.22,GREY,UO,WK,0,MAFIC,MAFIC-VAR,BRECCIA,,VAR,PERL,"Dark grey massive to variolitic mafic. Local breccia and hyaloclastic texture. 	Weak chlorite carbonate alteration, patchy strong albite alteration. 	Thin dark quartz vein stockwork, locally cross cut (172-176m) by anastamosing quartz-carbonate veins oriented ~ 25° TCA with strong arsenopyrite concentrated along selvages. 	Strong patchy dissemination of pyrite, localized disseminated arsenopyrite, total sulphides up to 5%.",,0,Stubley,6/7/2017
GCL,KAD17-025,191.22,194.44,GREEN-GRY,UO,WK,0,FILL,GRAVEL,,,,,Stope filled with semi competent ultramafic rocks and heterolithic gravel.,,0,Stubley,9/17/2017
GCL,KAD17-025,194.44,197.67,BROWN,UO,WK,4,UM,UM,MASS,,,,"Massive, brown chlorite carbonate altered ultramafic. 	Trace fuchsite alteration. 	Weakly foliated ~55°TCA. 	Trace pyrite.",,0,Stubley,6/7/2017
GCL,KAD17-025,197.67,211.4,GREEN-GRY,UO,WK,0,MAFIC,MAFIC-BX-PERL,BRECCIA,,PERL,VAR,"Massive to brecciated with local varioles and perlitic texture. Fractures have curviplanar margins. 	Zone from 205 to 208.7 is variable in texture and appears to have weak fuchsite alteration but pXRF readings do not indicate UM. Possible mixed zone. 	Patchy zones of matte-grey-blue fuzzy albite alteration. 	Patchy disseminated pyrite, increasing in more strongly albite altered zones, particularly from 210 to 211.40m.",,0,Stubley,6/7/2017
GCL,KAD17-025,211.4,230.9,GREY-BLK,UO,ST,20,UM,UM,BOUD,,,,"Black-grey massive to boudinaged talc-chlorite carbonate altered ultramafic. 	Strongly foliated 60°TCA. 	Trace pyrite throughout.",,0,Stubley,6/7/2017
GCL,KAD17-025,230.9,234.5,GREY-BLK,UO,ST,0,MAFIC,SED-MSSS,BED,THIN,,,,,0,Stubley,6/7/2017
GCL,KAD17-025,234.5,240.87,GREY-BLK,UO,ST,0,MAFIC,MAFIC-BXMS,BRECCIA,LAM,,,"Subrounded, strained mafic clasts with interstitial graphitic mudstone and interbeds of laminated graphite. 	Strong disseminated pyrite, local interconnected pyrite blebs infill around and between mafic clasts.
Weak chlorite carbonate alteration. 	Total sulphides ~15%",,0,Stubley,6/7/2017
GCL,KAD17-025,240.87,261.6,GREEN,UO,WK,0,MAFIC,MAFIC-BX,BRECCIA,,VAR,,"Massive, weakly foliated, locally varioitic mafic breccia.. Possible mudstone matrix near top of unit grades into monomictic mafic.
	Weak to moderate chlorite-carbonate alteration, possible patchy albite.
	Weakly foliated at ~60°. 	Weak disseminated pyrite along foliation bands and disseminated throughout, total 2%.",,0,Stubley,6/8/2017
GCL,KAD17-025,261.6,264.15,BLACK,UO,ST,2,SED,SED-MS-GRAPH,BED,CTRD,,,Black massive to graphitic mudstone; laminated and thin beds are irregular and contorted throughout. Thin quartz-carbonate-pyrite veins cross-cut disseminated pods of pyrite. Strong to intense quartz-graphite alteration. Strong disseminated and pods of pyrite (up to 10%).,,0,Stubley,6/8/2017
GCL,KAD17-025,264.15,265.69,GREY-BLK,UO,MOD,2,MAFIC,MAFIC-BX,BRECCIA,,,,Dark grey-green monomictic mafic breccia with evenly distributed skeletal leucoxene. Pervasive chlorite alteration and patchy altbite alteration. Strong disseminated pyrite throughout. White quartz-carbonate vein and subtle grey laminated quartz veins.,,0,Stubley,6/8/2017
GCL,KAD17-025,265.69,266.91,BLACK,UO,MOD,5,SED,SED-MS-GRAPH,BED,LAM,,,Black laminated to thinly bedded mudstone; graded with a possible younging uphole facing direction. Strong pervasive quartz-graphite alteration. Strong disseminated and pods of pyrite (up to 10%). Very thin (<1mm) stockwork or white quartz-carb veins and grey laminated to banded quartz veins.,,0,Stubley,6/8/2017
GCL,KAD17-025,266.91,312.4,GREEN,TO,MOD,3,MAFIC,MAFIC-BX,MASS,,,,"Massive to brecciated mafic unit, locally variolitic and possible relict pillows (10-40cm wide), ovoid albitic altered domains with stronger chloritic infill. Up-hole contact from 266.91 to 267.82m, has a distinctive monomictic breccia texture mixed with the graphitic mudstone. Pervasive chlorite alteration and patchy albite alteration. Moderate to strong (2-5%) disseminated pyrite throughout with trace arsenopyrite. Thin, wispy and irregular quartz-carbonate stockwork veins.",,0,Stubley,6/8/2017
GCL,KAD17-025,312.4,360,GREEN-GRY,TO,WK,5,MAFIC,MAFIC,MASS,,,,"Massive to monomictic breccia unit with patchy strong to moderate albite-quartz and chlorite-calcite alteration. Gradational to dark grey mud-sized infill at the base of the unit. Patchy strong, very fine-grained, disseminated pyrite and arsenopyrite (2-10%). Very thin, <2mm, wormy grey quartz-veins. Occasional large quartz-carbonate veins (up to 10cm).",,0,Stubley,6/9/2017
GCL,KAD17-025,360,381.7,GREY,UO,MOD,,MAFIC,MAFIC-SS,BED,THCK,,,"Dark grey thickly bedded mafic sandstone with intercalated mudstone laminations. 	Bedded ~60° TCA. 	Strong chlorite-calcite alteration, intense reaction to HCl. 	Abundant wispy calcite stringers. 	Common disseminated subhedral to euhedral pyrite, up to 1%.",,0,Stubley,6/9/2017
GCL,KAD17-025,381.7,384,GREY-BLK,UO,MOD,,MAFIC,MAFIC-BXMS,BRECCIA,LAM,,,"Mafic breccia with mudstone infill. Clasts of both appear within thick carbonate vein/breccia that occurs from 382.6 to 382.85m. 	Strongly chlorite calcite altered. 	Strong blebby to veined pyrite up to 6%.",,0,Stubley,6/9/2017
GCL,KAD17-025,384,399,GREEN-GRY,UO,MOD,,MAFIC,MAFIC-SS,BED,THCK,,,"Dark grey thickly bedded mafic sandstone with intercalated mudstone laminations. 	Bedded ~60° TCA. 	Strong chlorite-calcite alteration, intense reaction to HCl. 	Abundant wispy calcite stringers. 	Common disseminated subhedral to euhedral pyrite, up to 1%.",,0,Stubley,6/9/2017
GCL,KAD17-026,0,10.03,,,,,OVB,OVB,,,,,Cased to 9m,,0,Blackwell,6/7/2017
GCL,KAD17-026,10.03,23.73,GREY,TO,ST,5,SED,SED-MSSS,BED,CTRD,,,"Grey banded mudstone to sandstone facies. 	Contorted bedding with sericite alteration developed strongly along foliation planes. 	Fault zone with quartz-carbonate boudins from 16.59 to 20.65m. Diffusely graded and bedded from 20.65 to 23.73m. Weak disseminated pyrite.",,0,Blackwell,6/7/2017
GCL,KAD17-026,23.73,27,GREEN-GRY,WO,ST,5,UM,UM-SED,BED,,,,Grey-greenish unit with moderate and planar foliation. Stretched fragments of quartz-carbonate. Pervasive quartz-carbonate alteration with foliation parallel sericite-chlorite alteration. Weak disseminated pyrite.,,0,Blackwell,6/7/2017
GCL,KAD17-026,27,64.82,GREEN-EM,TO,MOD,40,UM,UM-QC,BAND,,,,"Bright to light emerald green, fuchsite-quartz-carbonate altered ultramafic with domains of quartz-carbonate vein stockwork / bands throughout. Ultramafic fragments are ragged and boudinaged. 	Moderate to strong (0.5 to 2%) disseminated pyrite; strongest along fuchsite altered septa. Quartz-carbonate (brownish) flooded/vein zone from 33 to 34.65m. Gradational lower alteration contact.",,0,Blackwell,6/7/2017
GCL,KAD17-026,64.82,79.35,GREEN-EM,TO,WK,20,UM,UM,MASS,,,,"Grey-brown massive ultramafic. 	Pervasive carbonate-quartz + weak chlorite amd weak sericite alteration. Trace fuchsite alteration along vein quartz-carbonate stockwork vein envelopes. 	Moderate disseminated pyrite. 	Gradational lower alteration contact.",,0,Blackwell,6/7/2017
GCL,KAD17-026,79.35,102,BLUE-BLK,UO,WK,15,UM,UM,BRECCIA,,,,"Dark blue-grey chlorite-talc carbonate altered ultramafic. 	Breccia texture from 79.35 to ~87.00 defined by white carbonate-talc infill and boudinaged ultramafic fragments. Spinifex texture at 92.84m. Trace to moderate disseminated pyrite. Gradational lower alteration contact.",,0,Blackwell,6/7/2017
GCL,KAD17-026,102,110.95,BROWN,UO,WK,30,UM,UM,BAND,,,,"Grey brown carbonate-chlorite altered ultramafic, weak sericite. 	Irregular bands of quartz-carbonate (5-30%). Weak disseminated pyrite (~0.5%). 	Gradational lower alteration contact.",,0,Blackwell,6/8/2017
GCL,KAD17-026,110.95,118.8,GREEN-EM,UO,MOD,60,UM,UM-QC,BAND,,,,"Bright emerald green fuchsite-quartz-carbonate altered ultramafic; gradational upper alteration contact. Bands/stockwork of white quartz-carbonate veins, up to 60% of the rock. Intense ""flood"" of quartz +- tourmaline vein/breccia infill from 116.73-117.50m. Weak to moderate disseminated pyrite.",,0,Blackwell,6/8/2017
GCL,KAD17-026,118.8,119.77,,,,,VOID,VOID,,,,,,,0,Blackwell,9/17/2017
GCL,KAD17-026,119.77,123.83,,,,,FILL,BOULDER,,,,,"Variably altered ultramafic fragments that range in size from 80cm to 5cm (fuchsite-quartz-carbonate, talc-chlorite-carbonate, tourmaline-quartz-carbonate vein breccia); sampled",,0,Blackwell,9/17/2017
GCL,KAD17-026,123.83,131.76,GREEN-GRY,PO,MOD,5,UM,UM-BX,BRECCIA,,,,"Grey-emerald green fuchsite-quartz-carbonate altered ultramafic with a moderate foliation and mottled breccia texture. 5% white quartz-carbonate veins with diffuse margins, 50degTCA. 	Bright orange oxidation on fracture surfaces and throughout.",,0,Blackwell,6/10/2017
GCL,KAD17-026,131.76,147.55,GREEN-EM,TO,WK,15,UM,UM,MASS,,,,"Emerald green fuchsite-quartz-carbonate altered ultramafic with 	15-20% quartz-carbonate vein stockwork, irregular diffuse infill and thin wispy irregular grey quartz-carbonate stringer veins. Weak disseminated pyrite (<0.5%).",,0,Blackwell,6/8/2017
GCL,KAD17-026,147.55,147.85,TAN,UO,WK,1,DYK,DYKE-ALB,APHAN,,,,Albite-quartz-altered dykes with a sharp upper contact. Strong pervasive albite-quartz alteration. Strong disseminated pyrite (arsenian – silvery). Grades into broken friable rock.,,0,Blackwell,6/10/2017
GCL,KAD17-026,147.85,158,,,,,FILL,GRAVEL,,,,,"Ultramafic; fuchsite-quartz-carbonate altered fragments that range from 1cm to 20cm; often fragments have sharp margins with albitite dykes. 	Albitie dyke fragments; strong pervasive albite-quartz alteration and strong disseminated pyrite. 	Subangular to angular fragments. 	Poor recovery through this zone and the drill shift logs report hours of reaming and washing of sand out of the hole.",,0,Blackwell,9/17/2017
GCL,KAD17-026,158,167.15,TAN,UO,WK,2,DYK,DYKE-ALB,APHAN,,,,"Tan to greyish, aphanitic, albitite dyke. Strong pervasive quartz-albite alteration. 	Strong (2-5%) disseminated and stringer vein pyrite and arsenopyrite. Planar white quartz-carbonate veins with diffuse margins. Sharp planar lower margin.",,0,Blackwell,6/9/2017
GCL,KAD17-026,167.15,175.08,GREEN-GRY,TO,WK,15,UM,UM,GRAN,,,,"Greenish grey ultramafic unit with pervasive fuchsite-quartz-carbonate (+- chlorite +- sericite) alteration and a medium to fine-grained granular texture. 	Irregular white quartz-carbonate veins with diffuse margins. Weak disseminated pyrite (<0.5%).",,0,Blackwell,6/9/2017
GCL,KAD17-026,175.08,175.62,TAN,UO,WK,10,DYK,DYKE-ALB,APHAN,,,,"Tan aphanitic, albitite dyke. Strong pervasive albite-quartz alteration and stockwork of thin greyish quartz-carbonate veins. Brassy disseminated pyrite (1-2%). Sharp, irregular margins.",,0,Blackwell,6/9/2017
GCL,KAD17-026,175.62,195.64,GREEN-GRY,TO,WK,15,UM,UM,GRAN,,,,"Greenish grey ultramafic unit with pervasive fuchsite-quartz-carbonate alteration and a medium to fine-grained granular texture. 	Irregular white quartz-carbonate veins with diffuse margins, often greyish; cross-cut by irregular grey quartz-carbonate veins. 	Albitite dyke/boudins locally present; < 20cm wide. Weak disseminated pyrite (<0.5%).",,0,Blackwell,6/10/2017
GCL,KAD17-026,195.64,205.82,,,,,FILL,GRAVEL,,,,,"Polylithic angular rubble up to 1.5m diameter boulders; a total of 3.5 m of cored boulders, 1.3m of angular gravel, 5.38m void. Quartz vein fragment from 201.9-203m with significant VG throughout. 10 cm wide vein in a fragment at 203.8 with VG.",,0,Blackwell,9/17/2017
GCL,KAD17-026,205.82,221.1,GREEN-GRY,UO,WK,10,UM,UM,MASS,,,,"Greenish-grey homogeneous massive ultramafic unit with a fine- to medium-grained granular texture.	Pervasive fuchsite-quartz-carbonate alteration; weak sericite +- chlorite. 	5-10% irregular networks of quartz-carbonate veins; smokey grey  margins on veins. 	Weak to moderate disseminated pyrite.",,0,Blackwell,6/10/2017
GCL,KAD17-026,221.1,230,GREY-BLK,TO,MOD,35,MAFIC,MAFIC,BRECCIA,,,,"Dark grey black aphanitic rocks with a  moderately well-developed monomitic breccia texture. Strong pervasive quartz-carbonate alteration +- albite. 	Irregular brecciated smokey grey quartz veins throughout. 	Strong pervasive disseminated pyrite and black sulfides (up to 20%). Very broken with several zones of core loss; angular friable rocks. Upper contact is a breccia; quartz-infill and angular veined fragments; interpretation = fault breccia.",,0,Blackwell,6/10/2017
GCL,KAD17-027,0,7.75,,,,,OVB,OVB,,,,,,,0,Stubley,6/10/2017
GCL,KAD17-027,7.75,16.04,GREEN-BLK,TO,ST,,UM,UM,BOUD,,,,"Dark green-black, strongly foliated ultramafic. 	Strong pervasive talc-chlorite-carbonate alteration. 	Foliation ~ 60°TCA. 	Trace pyrite.",,0,Stubley,6/10/2017
GCL,KAD17-027,16.04,33.38,GREEN,TO,MOD,15,UM,UM-ALB,BOUD,,,,"Variably altered banded to massive moderately foliated ultramafic with boudinaged albitic dykes. 	Alteration grades from moderate brown chlorite-carbonate (16.04 to 23 m) to weak fuchsite-quartz-carbonate (23 to 33.38 m). Patchy albite alteration occurs throughout. 	Quartz- carbonate replacement ~15%. 	Trace pyrite throughout. Stronger concentrations and trace chalcopyrite±tennantite occur in and around albitic altered zones. Oxidised fracture planes at 27 and 30 m blocks indicate open space. Approximately 3m core loss between 27 and 33 m.",,0,Stubley,6/10/2017
GCL,KAD17-027,33.38,34.5,WHITE,UO,NON,,DYK,DYKE-ALB,PHAN,,,,"Light grey to white phaneritic dyke with margins oriented ~45° (upper) and 70° (lower). 	Intense albite alteration. 	Pyrite occurs in a crackle-breccia-like sulphide vein stockwork and as fine disseminations. Trace black sulphide (possible tennantite) up to 8% total.",,0,Stubley,6/10/2017
GCL,KAD17-027,34.5,36,GREEN-GRY,UO,MOD,5,UM,UM-ALB,BOUD,,,,"Chlorite-carbonate altered ultramafic cut by two short albitic dykes (35.26 - 35.4 m and 35.7 – 36 m). 	Dykes are light grey-pink and contain abundant disseminated pyrite and magnetite.",,0,Stubley,6/10/2017
GCL,KAD17-027,36,55.9,GREEN-EM,UO,ST,25,UM,UM-ALB,BOUD,,,,"Grey green to emerald green ultramafic rocks with boudinaged albitic vein fragments and local apparently intact dykes. 	Alteration grades from strong chlorite-carbonate with minor talc to 41m to strong fuchsite quartz-carbonate. Rock becomes deeper emerald green with depth. Patchy albite alteration is present throughout. 	Quartz-carbonate replacement is ~25%. 	Trace to 1% disseminated pyrite, concentrated in albitic zones.",,0,Stubley,6/11/2017
GCL,KAD17-027,55.9,62.6,NA,,,,VOID,VOID,,,,,,,0,Stubley,9/17/2017
GCL,KAD17-027,62.6,86,GREY,UO,MOD,5,UM,UM,BOUD,,,,"Strongly but patchily chlorite-carbonate (brown carbonate) altered, with variable amounts of talc. 	Local pyrite-mineralized boudinaged albite dyke fragment 67.4 m to 67.52 m. 	Weak disseminated pyrite throughout, local trace chalcopyrite.
Common orange prismatic mineral (rutile or carbonate?)",,0,Stubley,6/11/2017
GCL,KAD17-027,86,91.45,GREEN-GRY,UO,MOD,0,FLT,UM,BRECCIA,,,,"Broken blocky core, poor recovery. 	Interpreted as partially healed fault zone. 	Soft rubbly sections of strongly chlorite-sericite±talc altered rock in between semi competent hard zones of quartz-albitized breccia.	 Breccia sections contain up to 5% pyrite. 	Fabric oriented ~ 50° TCA. Strongly magnetic.",,0,Stubley,6/11/2017
GCL,KAD17-027,91.45,131,GREEN-BLK,UO,MOD,0,UM,UM,BOUD,,,,,,0,Stubley,6/12/2017
GCL,KAD17-027,131,142,GREEN-EM,UO,WK,35,UM,UM-QC,BOUD,,,,"Dark emerald green, strongly fuchsite-altered (up to 35% quartz-carbonate replacement) ultramafic.	 Core is strongly silicified, and only weakly to moderately foliated. 	Quartz-carb flooding/veins with dark green to black septa containing pyrite and dark silver-black sulphides. Tennantite is present locally. Total sulphides ~3%.",,0,Stubley,6/12/2017
